ID Degree,Degree,ID Year,Year,Completions,Number Of Universities,Geography,ID Geography,Slug Geography,Share
3,"Associates Degree",2022,"2022",53,1,"Inglewood, CA","16000US0636546","inglewood-ca",53
4,"2 to 4 Year Postsecondary Certificate",2022,"2022",140,1,"Inglewood, CA","16000US0636546","inglewood-ca",140
5,"Bachelors Degree",2022,"2022",0,1,"Inglewood, CA","16000US0636546","inglewood-ca",0
7,"Masters Degree",2022,"2022",8,1,"Inglewood, CA","16000US0636546","inglewood-ca",8
18,"Professional Doctorate",2022,"2022",59,1,"Inglewood, CA","16000US0636546","inglewood-ca",59
3,"Associates Degree",2021,"2021",40,1,"Inglewood, CA","16000US0636546","inglewood-ca",40
4,"2 to 4 Year Postsecondary Certificate",2021,"2021",169,1,"Inglewood, CA","16000US0636546","inglewood-ca",169
5,"Bachelors Degree",2021,"2021",4,1,"Inglewood, CA","16000US0636546","inglewood-ca",4
7,"Masters Degree",2021,"2021",5,1,"Inglewood, CA","16000US0636546","inglewood-ca",5
18,"Professional Doctorate",2021,"2021",59,1,"Inglewood, CA","16000US0636546","inglewood-ca",59
3,"Associates Degree",2020,"2020",23,1,"Inglewood, CA","16000US0636546","inglewood-ca",23
4,"2 to 4 Year Postsecondary Certificate",2020,"2020",130,1,"Inglewood, CA","16000US0636546","inglewood-ca",130
5,"Bachelors Degree",2020,"2020",0,1,"Inglewood, CA","16000US0636546","inglewood-ca",0
7,"Masters Degree",2020,"2020",9,1,"Inglewood, CA","16000US0636546","inglewood-ca",9
18,"Professional Doctorate",2020,"2020",39,1,"Inglewood, CA","16000US0636546","inglewood-ca",39
3,"Associates Degree",2019,"2019",13,1,"Inglewood, CA","16000US0636546","inglewood-ca",13
4,"2 to 4 Year Postsecondary Certificate",2019,"2019",200,1,"Inglewood, CA","16000US0636546","inglewood-ca",200
5,"Bachelors Degree",2019,"2019",2,1,"Inglewood, CA","16000US0636546","inglewood-ca",2
7,"Masters Degree",2019,"2019",7,1,"Inglewood, CA","16000US0636546","inglewood-ca",7
18,"Professional Doctorate",2019,"2019",57,1,"Inglewood, CA","16000US0636546","inglewood-ca",57
3,"Associates Degree",2018,"2018",47,1,"Inglewood, CA","16000US0636546","inglewood-ca",47
4,"2 to 4 Year Postsecondary Certificate",2018,"2018",244,1,"Inglewood, CA","16000US0636546","inglewood-ca",244
5,"Bachelors Degree",2018,"2018",0,1,"Inglewood, CA","16000US0636546","inglewood-ca",0
7,"Masters Degree",2018,"2018",9,1,"Inglewood, CA","16000US0636546","inglewood-ca",9
18,"Professional Doctorate",2018,"2018",50,1,"Inglewood, CA","16000US0636546","inglewood-ca",50
2,"1 to 2 Year Postsecondary Certificate",2017,"2017",0,1,"Inglewood, CA","16000US0636546","inglewood-ca",0
3,"Associates Degree",2017,"2017",65,1,"Inglewood, CA","16000US0636546","inglewood-ca",65
4,"2 to 4 Year Postsecondary Certificate",2017,"2017",235,1,"Inglewood, CA","16000US0636546","inglewood-ca",235
5,"Bachelors Degree",2017,"2017",0,1,"Inglewood, CA","16000US0636546","inglewood-ca",0
7,"Masters Degree",2017,"2017",0,1,"Inglewood, CA","16000US0636546","inglewood-ca",0
18,"Professional Doctorate",2017,"2017",56,1,"Inglewood, CA","16000US0636546","inglewood-ca",56
2,"1 to 2 Year Postsecondary Certificate",2016,"2016",3,1,"Inglewood, CA","16000US0636546","inglewood-ca",3
3,"Associates Degree",2016,"2016",21,1,"Inglewood, CA","16000US0636546","inglewood-ca",21
4,"2 to 4 Year Postsecondary Certificate",2016,"2016",174,1,"Inglewood, CA","16000US0636546","inglewood-ca",174
7,"Masters Degree",2016,"2016",6,1,"Inglewood, CA","16000US0636546","inglewood-ca",6
18,"Professional Doctorate",2016,"2016",58,1,"Inglewood, CA","16000US0636546","inglewood-ca",58
2,"1 to 2 Year Postsecondary Certificate",2015,"2015",4,1,"Inglewood, CA","16000US0636546","inglewood-ca",4
4,"2 to 4 Year Postsecondary Certificate",2015,"2015",221,1,"Inglewood, CA","16000US0636546","inglewood-ca",221
2,"1 to 2 Year Postsecondary Certificate",2014,"2014",5,1,"Inglewood, CA","16000US0636546","inglewood-ca",5
4,"2 to 4 Year Postsecondary Certificate",2014,"2014",201,1,"Inglewood, CA","16000US0636546","inglewood-ca",201
2,"1 to 2 Year Postsecondary Certificate",2013,"2013",6,1,"Inglewood, CA","16000US0636546","inglewood-ca",6
4,"2 to 4 Year Postsecondary Certificate",2013,"2013",238,1,"Inglewood, CA","16000US0636546","inglewood-ca",238
1,"< 1 Year Postsecondary Certificate",2012,"2012",3,1,"Inglewood, CA","16000US0636546","inglewood-ca",3
2,"1 to 2 Year Postsecondary Certificate",2012,"2012",0,1,"Inglewood, CA","16000US0636546","inglewood-ca",0
4,"2 to 4 Year Postsecondary Certificate",2012,"2012",214,1,"Inglewood, CA","16000US0636546","inglewood-ca",214