ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2022,"2022",0,"Total",90739,22798,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2022,"2022",0,"Total",80833,35302,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2022,"2022",0,"Total",59783,11676,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2022,"2022",0,"Total",107396,20542,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2022,"2022",0,"Total",93250,10736,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2022,"2022",0,"Total",72132,21596,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2022,"2022",0,"Total",116875,27194,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2022,"2022",0,"Total",57927,21158,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2022,"2022",0,"Total",57418,11968,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2022,"2022",0,"Total",77016,30889.000000000004,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2022,"2022",0,"Total",73272,5869,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2022,"2022",0,"Total",42878,28273,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2022,"2022",0,"Total",59896,23537,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2022,"2022",0,"Total",58655,5238,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2022,"2022",0,"Total",74093,15334,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2022,"2022",0,"Total",49871,11059,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2022,"2022",0,"Total",63375,23311,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2022,"2022",0,"Total",74410,19727,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2022,"2022",0,"Total",72577,6754,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2022,"2022",0,"Total",51932,14159.000000000002,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2022,"2022",0,"Total",52941,14062,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2022,"2022",0,"Total",88037,14901.000000000002,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2022,"2022",0,"Total",52682,13413,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2022,"2022",0,"Total",49219,21006,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2022,"2022",0,"Total",51343,3045,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2022,"2022",0,"Total",73462,7788,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2022,"2022",0,"Total",57788,16959,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2022,"2022",0,"Total",58750,9210,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2022,"2022",0,"Total",68500,11741,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2022,"2022",0,"Total",156776,35354,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2021,"2021",0,"Total",83167,16782,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2021,"2021",0,"Total",87596,14893,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2021,"2021",0,"Total",52569,11116,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2021,"2021",0,"Total",99449,15410.000000000002,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2021,"2021",0,"Total",80859,10572,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2021,"2021",0,"Total",78214,15789.000000000002,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2021,"2021",0,"Total",113682,15659.999999999998,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2021,"2021",0,"Total",57250,16946,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2021,"2021",0,"Total",47146,11732,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2021,"2021",0,"Total",71875,20367,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2021,"2021",0,"Total",69859,7355,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2021,"2021",0,"Total",29375,22893,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2021,"2021",0,"Total",52446,20351,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2021,"2021",0,"Total",48728,11776,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2021,"2021",0,"Total",67451,14397,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2021,"2021",0,"Total",43145,8637,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2021,"2021",0,"Total",57917,10541,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2021,"2021",0,"Total",69575,15400.000000000002,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2021,"2021",0,"Total",70226,10726,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2021,"2021",0,"Total",51887,9065,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2021,"2021",0,"Total",52676,9923,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2021,"2021",0,"Total",82828,19220,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2021,"2021",0,"Total",47031,12213,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2021,"2021",0,"Total",39962,15490.999999999998,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2021,"2021",0,"Total",44881,9766,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2021,"2021",0,"Total",75217,13173,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2021,"2021",0,"Total",66948,8620,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2021,"2021",0,"Total",57109,13155,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2021,"2021",0,"Total",61031,10562,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2021,"2021",0,"Total",112272,18693,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2020,"2020",0,"Total",86985,20109,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2020,"2020",0,"Total",83599,10810,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2020,"2020",0,"Total",48173,14619,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2020,"2020",0,"Total",109142,25297,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2020,"2020",0,"Total",80446,10249,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2020,"2020",0,"Total",76106,16819,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2020,"2020",0,"Total",111725,16488,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2020,"2020",0,"Total",56920,21794,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2020,"2020",0,"Total",41967,6416,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2020,"2020",0,"Total",63833,14635,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2020,"2020",0,"Total",61555,6752,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2020,"2020",0,"Total",36250,24255,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2020,"2020",0,"Total",46597,11241,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2020,"2020",0,"Total",43661,8797,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2020,"2020",0,"Total",68750,15105,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2020,"2020",0,"Total",43873,8948,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2020,"2020",0,"Total",54671,14827.999999999998,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2020,"2020",0,"Total",65579,7869,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2020,"2020",0,"Total",62143,4948,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2020,"2020",0,"Total",45563,12077,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2020,"2020",0,"Total",50655,9311,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2020,"2020",0,"Total",77908,19878,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2020,"2020",0,"Total",36737,12782,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2020,"2020",0,"Total",37045,10337,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2020,"2020",0,"Total",41890,7277,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2020,"2020",0,"Total",67361,11017,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2020,"2020",0,"Total",63153,15149,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2020,"2020",0,"Total",47083,13566.000000000002,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2020,"2020",0,"Total",54321,9709,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2020,"2020",0,"Total",101264,13385,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2019,"2019",0,"Total",66908,6682,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2019,"2019",0,"Total",66542,11103,"Census Tract 6005.02, Los Angeles County, CA","14000US06037600502"
2019,"2019",0,"Total",80708,7313.999999999999,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2019,"2019",0,"Total",42143,7510,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2019,"2019",0,"Total",98571,22404,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2019,"2019",0,"Total",72500,8840,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2019,"2019",0,"Total",70054,18555,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2019,"2019",0,"Total",93125,23999,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2019,"2019",0,"Total",69519,16565,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2019,"2019",0,"Total",41477,10073,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2019,"2019",0,"Total",59688,10143,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2019,"2019",0,"Total",55568,5359,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2019,"2019",0,"Total",32143,11581,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2019,"2019",0,"Total",53008,8444,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2019,"2019",0,"Total",34849,7849,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2019,"2019",0,"Total",67083,10086,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2019,"2019",0,"Total",44934,6335,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2019,"2019",0,"Total",44932,11856,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2019,"2019",0,"Total",72679,14931.000000000002,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2019,"2019",0,"Total",51857,15619.000000000002,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2019,"2019",0,"Total",50077,10807,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2019,"2019",0,"Total",50094,6209,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2019,"2019",0,"Total",62316,5944,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2019,"2019",0,"Total",42794,8546,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2019,"2019",0,"Total",39013,10538,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2019,"2019",0,"Total",40870,6730,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2019,"2019",0,"Total",63692,5131,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2019,"2019",0,"Total",50933,7936.999999999999,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2019,"2019",0,"Total",45948,13060,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2019,"2019",0,"Total",51875,11706,"Census Tract 6020.04, Los Angeles County, CA","14000US06037602004"
2019,"2019",0,"Total",51750,6994.999999999999,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2019,"2019",0,"Total",101534,16625,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2018,"2018",0,"Total",60921,8340,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2018,"2018",0,"Total",63182,14860,"Census Tract 6005.02, Los Angeles County, CA","14000US06037600502"
2018,"2018",0,"Total",72500,10718,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2018,"2018",0,"Total",35559,6596,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2018,"2018",0,"Total",91923,26207,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2018,"2018",0,"Total",69413,7421.000000000001,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2018,"2018",0,"Total",66250,21767,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2018,"2018",0,"Total",86331,20905,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2018,"2018",0,"Total",66694,6807.999999999999,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2018,"2018",0,"Total",38608,8004.000000000001,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2018,"2018",0,"Total",54700,15878.000000000002,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2018,"2018",0,"Total",50600,7662.999999999999,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2018,"2018",0,"Total",31934,7854.999999999999,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2018,"2018",0,"Total",47624,14525,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2018,"2018",0,"Total",34215,7109.999999999999,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2018,"2018",0,"Total",52578,18900,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2018,"2018",0,"Total",41469,7917.000000000001,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2018,"2018",0,"Total",45563,9418,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2018,"2018",0,"Total",64805,11948,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2018,"2018",0,"Total",47944,11120,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2018,"2018",0,"Total",45607,8665,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2018,"2018",0,"Total",46754,6667,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2018,"2018",0,"Total",55714,9149,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2018,"2018",0,"Total",36515,6919,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2018,"2018",0,"Total",47000,20566,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2018,"2018",0,"Total",36594,4783,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2018,"2018",0,"Total",46789,12417,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2018,"2018",0,"Total",49855,9499,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2018,"2018",0,"Total",43810,4577,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2018,"2018",0,"Total",50926,8781,"Census Tract 6020.04, Los Angeles County, CA","14000US06037602004"
2018,"2018",0,"Total",47344,4163,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2018,"2018",0,"Total",101765,18718,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2017,"2017",0,"Total",61301,3468.9999999999995,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
