"Label (Grouping)","ZCTA5 90043!!Households!!Estimate","ZCTA5 90043!!Households!!Margin of Error","ZCTA5 90043!!Families!!Estimate","ZCTA5 90043!!Families!!Margin of Error","ZCTA5 90043!!Married-couple families!!Estimate","ZCTA5 90043!!Married-couple families!!Margin of Error","ZCTA5 90043!!Nonfamily households!!Estimate","ZCTA5 90043!!Nonfamily households!!Margin of Error","ZCTA5 90250!!Households!!Estimate","ZCTA5 90250!!Households!!Margin of Error","ZCTA5 90250!!Families!!Estimate","ZCTA5 90250!!Families!!Margin of Error","ZCTA5 90250!!Married-couple families!!Estimate","ZCTA5 90250!!Married-couple families!!Margin of Error","ZCTA5 90250!!Nonfamily households!!Estimate","ZCTA5 90250!!Nonfamily households!!Margin of Error","ZCTA5 90301!!Households!!Estimate","ZCTA5 90301!!Households!!Margin of Error","ZCTA5 90301!!Families!!Estimate","ZCTA5 90301!!Families!!Margin of Error","ZCTA5 90301!!Married-couple families!!Estimate","ZCTA5 90301!!Married-couple families!!Margin of Error","ZCTA5 90301!!Nonfamily households!!Estimate","ZCTA5 90301!!Nonfamily households!!Margin of Error","ZCTA5 90302!!Households!!Estimate","ZCTA5 90302!!Households!!Margin of Error","ZCTA5 90302!!Families!!Estimate","ZCTA5 90302!!Families!!Margin of Error","ZCTA5 90302!!Married-couple families!!Estimate","ZCTA5 90302!!Married-couple families!!Margin of Error","ZCTA5 90302!!Nonfamily households!!Estimate","ZCTA5 90302!!Nonfamily households!!Margin of Error","ZCTA5 90303!!Households!!Estimate","ZCTA5 90303!!Households!!Margin of Error","ZCTA5 90303!!Families!!Estimate","ZCTA5 90303!!Families!!Margin of Error","ZCTA5 90303!!Married-couple families!!Estimate","ZCTA5 90303!!Married-couple families!!Margin of Error","ZCTA5 90303!!Nonfamily households!!Estimate","ZCTA5 90303!!Nonfamily households!!Margin of Error","ZCTA5 90304!!Households!!Estimate","ZCTA5 90304!!Households!!Margin of Error","ZCTA5 90304!!Families!!Estimate","ZCTA5 90304!!Families!!Margin of Error","ZCTA5 90304!!Married-couple families!!Estimate","ZCTA5 90304!!Married-couple families!!Margin of Error","ZCTA5 90304!!Nonfamily households!!Estimate","ZCTA5 90304!!Nonfamily households!!Margin of Error","ZCTA5 90305!!Households!!Estimate","ZCTA5 90305!!Households!!Margin of Error","ZCTA5 90305!!Families!!Estimate","ZCTA5 90305!!Families!!Margin of Error","ZCTA5 90305!!Married-couple families!!Estimate","ZCTA5 90305!!Married-couple families!!Margin of Error","ZCTA5 90305!!Nonfamily households!!Estimate","ZCTA5 90305!!Nonfamily households!!Margin of Error"
"Total","17,132","±787","10,433","±717","5,979","±546","6,699","±662","32,230","±731","21,792","±654","12,661","±578","10,438","±816","12,142","±595","7,877","±507","4,398","±499","4,265","±516","10,340","±543","6,775","±539","3,124","±338","3,565","±421","6,894","±347","5,212","±346","2,890","±313","1,682","±214","7,174","±566","5,752","±458","3,641","±401","1,422","±400","5,894","±345","3,646","±349","1,856","±211","2,248","±252"
"    Less than $10,000","9.3%","±1.7","4.9%","±1.7","2.2%","±1.5","17.6%","±3.9","4.7%","±1.0","3.9%","±1.0","2.0%","±1.0","8.0%","±2.3","7.5%","±2.6","3.0%","±1.3","1.5%","±1.3","16.6%","±6.6","6.9%","±2.3","5.7%","±2.3","2.3%","±1.8","10.4%","±4.6","4.5%","±1.6","2.5%","±1.5","1.1%","±1.2","11.5%","±4.6","4.9%","±2.3","4.7%","±2.3","2.0%","±1.8","9.8%","±6.5","3.3%","±1.7","2.9%","±2.2","1.6%","±2.1","4.2%","±2.4"
"    $10,000 to $14,999","6.8%","±1.3","2.4%","±1.0","1.4%","±1.2","13.6%","±3.2","3.9%","±0.9","2.9%","±1.1","2.6%","±1.7","6.6%","±2.0","5.3%","±1.6","1.5%","±1.3","1.9%","±2.2","12.8%","±3.6","3.4%","±1.5","3.4%","±1.7","3.7%","±2.6","4.5%","±2.6","3.2%","±1.3","2.0%","±1.3","3.0%","±2.2","7.4%","±3.8","3.6%","±1.7","2.7%","±1.7","3.1%","±2.3","8.4%","±5.9","3.2%","±1.8","2.4%","±2.3","3.4%","±4.2","4.5%","±2.6"
"    $15,000 to $24,999","7.7%","±2.4","3.5%","±1.3","2.6%","±1.6","14.2%","±5.6","4.6%","±0.8","3.6%","±0.8","2.0%","±0.9","7.8%","±1.8","8.9%","±1.7","7.4%","±2.5","6.6%","±3.2","12.2%","±3.3","6.4%","±2.4","5.7%","±3.2","3.3%","±1.9","8.9%","±3.6","6.2%","±1.7","4.5%","±1.9","3.8%","±1.9","12.1%","±4.3","8.9%","±2.3","9.6%","±2.7","7.1%","±3.4","7.0%","±4.1","10.0%","±3.1","5.8%","±2.5","2.2%","±2.1","17.0%","±7.3"
"    $25,000 to $34,999","9.1%","±2.0","9.4%","±2.8","9.7%","±4.2","9.4%","±3.3","9.7%","±1.3","9.0%","±1.7","7.6%","±2.0","11.7%","±2.4","8.3%","±1.9","8.2%","±2.4","6.1%","±2.8","9.0%","±3.6","8.6%","±2.2","7.4%","±3.1","5.7%","±3.7","10.6%","±3.5","5.8%","±1.8","6.2%","±2.3","3.5%","±2.0","9.1%","±3.3","13.7%","±5.0","11.8%","±4.4","10.6%","±5.7","23.8%","±16.0","3.4%","±1.2","1.5%","±1.0","0.6%","±0.9","6.4%","±2.9"
"    $35,000 to $49,999","9.6%","±2.1","9.0%","±2.1","5.7%","±2.1","10.1%","±4.4","10.5%","±1.2","9.6%","±1.4","7.4%","±1.7","13.5%","±2.8","12.2%","±2.4","12.0%","±3.2","7.2%","±3.1","12.1%","±4.0","11.3%","±2.6","11.0%","±3.5","7.1%","±3.4","10.9%","±3.5","15.8%","±4.1","17.8%","±5.5","16.2%","±6.0","12.0%","±4.6","12.9%","±3.2","12.5%","±3.2","10.1%","±3.9","14.4%","±8.9","11.7%","±4.1","12.4%","±6.2","5.1%","±2.9","12.4%","±4.4"
"    $50,000 to $74,999","13.7%","±2.1","13.7%","±2.6","10.7%","±3.0","13.3%","±3.7","16.9%","±1.6","17.0%","±1.8","13.0%","±1.8","15.9%","±2.9","16.0%","±2.4","17.6%","±3.8","14.4%","±5.2","14.0%","±4.0","19.9%","±3.2","20.4%","±3.9","18.2%","±4.9","19.8%","±5.4","22.5%","±3.4","23.8%","±3.9","22.1%","±5.1","18.4%","±5.5","17.3%","±3.8","18.1%","±4.3","19.7%","±5.2","16.1%","±8.8","13.5%","±3.3","14.4%","±4.1","12.3%","±5.2","13.3%","±5.0"
"    $75,000 to $99,999","9.9%","±2.0","11.6%","±2.7","9.2%","±2.8","6.9%","±2.5","14.5%","±1.6","14.8%","±2.1","13.3%","±2.2","13.4%","±2.4","16.1%","±3.0","18.0%","±4.0","21.8%","±6.6","10.6%","±3.7","13.0%","±2.8","15.4%","±4.1","16.3%","±5.0","9.8%","±4.1","12.1%","±2.5","10.6%","±2.8","11.3%","±3.7","10.8%","±5.9","11.3%","±2.6","11.1%","±3.1","14.3%","±4.0","5.7%","±5.1","12.2%","±3.3","13.4%","±4.5","12.4%","±5.8","11.1%","±4.6"
"    $100,000 to $149,999","14.5%","±2.4","19.8%","±3.5","21.5%","±4.9","7.4%","±2.5","18.6%","±1.6","19.3%","±1.9","23.9%","±2.8","14.8%","±2.6","14.8%","±2.3","18.5%","±3.3","23.7%","±5.0","8.1%","±3.0","16.5%","±3.3","18.7%","±4.5","20.4%","±4.7","12.9%","±4.5","15.2%","±2.9","17.5%","±3.8","17.9%","±5.0","11.1%","±4.0","17.5%","±3.5","19.2%","±4.1","20.5%","±5.1","6.9%","±5.7","21.3%","±4.3","23.3%","±5.9","25.1%","±7.6","14.5%","±4.6"
"    $150,000 to $199,999","8.0%","±1.7","10.1%","±2.7","13.3%","±4.2","3.4%","±1.7","6.6%","±0.9","7.8%","±1.3","10.6%","±1.8","4.5%","±1.6","6.1%","±1.4","7.9%","±2.1","8.8%","±2.8","3.0%","±1.6","8.2%","±1.9","7.0%","±2.2","12.2%","±4.4","9.6%","±4.5","7.1%","±1.8","6.7%","±1.9","9.2%","±3.1","5.5%","±3.1","5.8%","±1.7","5.8%","±2.2","6.9%","±2.9","5.2%","±3.5","11.2%","±4.0","13.0%","±4.2","20.3%","±7.0","10.3%","±7.5"
"    $200,000 or more","11.5%","±2.2","15.8%","±3.4","23.8%","±5.6","4.2%","±2.0","10.0%","±1.1","12.1%","±1.4","17.5%","±2.4","4.0%","±1.2","4.8%","±1.2","5.7%","±1.9","7.9%","±3.1","1.8%","±1.1","5.8%","±1.8","5.5%","±2.0","10.8%","±4.2","2.7%","±1.9","7.7%","±2.0","8.4%","±2.3","11.8%","±4.0","2.1%","±2.0","4.2%","±1.6","4.4%","±1.9","5.7%","±2.8","2.7%","±2.9","10.1%","±2.9","10.9%","±3.5","17.2%","±5.1","6.3%","±4.4"
"Median income (dollars)","63,990","±6,488","89,677","±11,249","122,438","±13,879","29,123","±6,836","74,616","±2,512","82,289","±4,811","103,398","±3,549","54,728","±5,407","61,910","±6,533","75,226","±7,092","89,081","±3,989","32,888","±9,771","68,662","±5,246","71,495","±3,298","90,969","±17,318","53,997","±7,291","67,598","±4,217","68,615","±2,902","75,469","±11,367","44,257","±12,100","57,647","±9,743","62,439","±8,471","71,129","±6,433","35,833","±11,591","85,466","±7,494","93,426","±13,636","130,417","±12,569","56,394","±12,601"
"Mean income (dollars)","90,565","±5,071","112,721","±6,631","N","N","52,568","±6,647","98,368","±4,168","106,028","±5,201","126,577","±6,685","74,993","±6,614","77,051","±4,461","88,784","±5,369","103,392","±9,337","51,177","±6,092","83,152","±5,748","83,822","±6,559","N","N","72,806","±10,937","88,532","±6,324","93,171","±7,828","N","N","60,834","±8,026","74,437","±4,881","77,215","±5,813","N","N","52,761","±9,472","106,638","±9,580","116,026","±11,127","N","N","87,848","±18,191"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","50.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","44.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","45.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","54.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","52.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","44.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","55.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","46.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","49.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","48.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","56.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","54.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","49.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","43.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","44.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","40.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.9%","(X)"